# test name,category,real vulnerability,CWE
# Ruby SAST Benchmark v0.3.1
# 1288 test cases (644 TP / 644 TN), 27 CWE categories
BenchmarkTest00255,dynmethod,true,94
BenchmarkTest01108,dynmethod,true,94
BenchmarkTest00967,dynmethod,true,94
BenchmarkTest00528,dynmethod,true,94
BenchmarkTest00913,dynmethod,true,94
BenchmarkTest01063,dynmethod,true,94
BenchmarkTest00868,dynmethod,true,94
BenchmarkTest00087,dynmethod,true,94
BenchmarkTest00716,dynmethod,true,94
BenchmarkTest00586,dynmethod,true,94
BenchmarkTest01017,dynmethod,false,94
BenchmarkTest00201,dynmethod,false,94
BenchmarkTest00296,dynmethod,false,94
BenchmarkTest00192,dynmethod,false,94
BenchmarkTest00702,dynmethod,false,94
BenchmarkTest01123,dynmethod,false,94
BenchmarkTest00106,dynmethod,false,94
BenchmarkTest00015,dynmethod,false,94
BenchmarkTest00367,dynmethod,false,94
BenchmarkTest00504,dynmethod,false,94
BenchmarkTest01130,dynmethod,true,94
BenchmarkTest00918,dynmethod,true,94
BenchmarkTest01270,dynmethod,true,94
BenchmarkTest00310,dynmethod,true,94
BenchmarkTest00831,dynmethod,true,94
BenchmarkTest00125,dynmethod,true,94
BenchmarkTest00580,dynmethod,true,94
BenchmarkTest00981,dynmethod,true,94
BenchmarkTest00709,dynmethod,true,94
BenchmarkTest00295,dynmethod,true,94
BenchmarkTest00230,dynmethod,true,94
BenchmarkTest00904,dynmethod,true,94
BenchmarkTest00888,dynmethod,true,94
BenchmarkTest00016,dynmethod,true,94
BenchmarkTest00429,dynmethod,true,94
BenchmarkTest01248,dynmethod,false,94
BenchmarkTest01132,dynmethod,false,94
BenchmarkTest00334,dynmethod,false,94
BenchmarkTest00319,dynmethod,false,94
BenchmarkTest00210,dynmethod,false,94
BenchmarkTest00488,dynmethod,false,94
BenchmarkTest00281,dynmethod,false,94
BenchmarkTest00410,dynmethod,false,94
BenchmarkTest00161,dynmethod,false,94
BenchmarkTest00225,dynmethod,false,94
BenchmarkTest01055,dynmethod,false,94
BenchmarkTest01264,dynmethod,false,94
BenchmarkTest00912,dynmethod,false,94
BenchmarkTest00634,dynmethod,false,94
BenchmarkTest01169,dynmethod,false,94
BenchmarkTest00721,fileinclusion,true,98
BenchmarkTest00228,fileinclusion,true,98
BenchmarkTest00403,fileinclusion,true,98
BenchmarkTest01164,fileinclusion,true,98
BenchmarkTest00298,fileinclusion,true,98
BenchmarkTest00778,fileinclusion,true,98
BenchmarkTest00178,fileinclusion,true,98
BenchmarkTest00790,fileinclusion,true,98
BenchmarkTest00112,fileinclusion,true,98
BenchmarkTest00400,fileinclusion,true,98
BenchmarkTest01105,fileinclusion,false,98
BenchmarkTest00521,fileinclusion,false,98
BenchmarkTest00313,fileinclusion,false,98
BenchmarkTest00111,fileinclusion,false,98
BenchmarkTest01165,fileinclusion,false,98
BenchmarkTest01014,fileinclusion,false,98
BenchmarkTest00147,fileinclusion,false,98
BenchmarkTest00073,fileinclusion,false,98
BenchmarkTest00335,fileinclusion,false,98
BenchmarkTest00724,fileinclusion,false,98
BenchmarkTest00493,fileupload,true,434
BenchmarkTest01003,fileupload,true,434
BenchmarkTest00537,fileupload,true,434
BenchmarkTest01106,fileupload,true,434
BenchmarkTest00212,fileupload,true,434
BenchmarkTest00309,fileupload,true,434
BenchmarkTest00639,fileupload,true,434
BenchmarkTest01010,fileupload,true,434
BenchmarkTest00318,fileupload,false,434
BenchmarkTest00294,fileupload,false,434
BenchmarkTest00386,fileupload,false,434
BenchmarkTest00780,fileupload,false,434
BenchmarkTest00382,fileupload,false,434
BenchmarkTest01051,fileupload,false,434
BenchmarkTest01071,fileupload,false,434
BenchmarkTest00606,fileupload,false,434
BenchmarkTest00204,fileupload,false,434
BenchmarkTest00422,fileupload,false,434
BenchmarkTest00258,fileupload,true,434
BenchmarkTest00734,fileupload,true,434
BenchmarkTest01266,fileupload,true,434
BenchmarkTest01179,fileupload,true,434
BenchmarkTest00308,fileupload,true,434
BenchmarkTest00872,fileupload,true,434
BenchmarkTest00438,fileupload,true,434
BenchmarkTest00999,fileupload,true,434
BenchmarkTest00927,fileupload,true,434
BenchmarkTest00986,fileupload,true,434
BenchmarkTest00971,fileupload,true,434
BenchmarkTest00819,fileupload,true,434
BenchmarkTest00082,fileupload,true,434
BenchmarkTest00844,fileupload,true,434
BenchmarkTest00067,fileupload,true,434
BenchmarkTest00418,fileupload,false,434
BenchmarkTest01147,fileupload,false,434
BenchmarkTest01050,fileupload,false,434
BenchmarkTest00141,fileupload,false,434
BenchmarkTest00330,fileupload,false,434
BenchmarkTest00145,fileupload,false,434
BenchmarkTest00396,fileupload,false,434
BenchmarkTest00978,fileupload,false,434
BenchmarkTest00903,fileupload,false,434
BenchmarkTest00356,fileupload,false,434
BenchmarkTest00123,fileupload,false,434
BenchmarkTest00427,fileupload,false,434
BenchmarkTest00055,fileupload,false,434
BenchmarkTest00783,hardcodedcreds,true,798
BenchmarkTest01278,hardcodedcreds,true,798
BenchmarkTest00001,hardcodedcreds,true,798
BenchmarkTest00995,hardcodedcreds,true,798
BenchmarkTest00806,hardcodedcreds,true,798
BenchmarkTest00451,hardcodedcreds,true,798
BenchmarkTest00604,hardcodedcreds,true,798
BenchmarkTest01009,hardcodedcreds,true,798
BenchmarkTest00673,hardcodedcreds,false,798
BenchmarkTest00549,hardcodedcreds,false,798
BenchmarkTest00273,hardcodedcreds,false,798
BenchmarkTest00998,hardcodedcreds,false,798
BenchmarkTest00864,hardcodedcreds,false,798
BenchmarkTest00640,hardcodedcreds,false,798
BenchmarkTest00485,hardcodedcreds,false,798
BenchmarkTest01088,hardcodedcreds,false,798
BenchmarkTest01246,headerinj,true,113
BenchmarkTest00685,headerinj,true,113
BenchmarkTest01076,headerinj,true,113
BenchmarkTest00474,headerinj,true,113
BenchmarkTest00158,headerinj,true,113
BenchmarkTest00772,headerinj,true,113
BenchmarkTest01090,headerinj,true,113
BenchmarkTest01035,headerinj,true,113
BenchmarkTest00031,headerinj,true,113
BenchmarkTest00153,headerinj,false,113
BenchmarkTest00091,headerinj,false,113
BenchmarkTest00184,headerinj,false,113
BenchmarkTest01157,headerinj,false,113
BenchmarkTest00183,headerinj,false,113
BenchmarkTest00317,headerinj,false,113
BenchmarkTest01160,headerinj,false,113
BenchmarkTest00083,headerinj,false,113
BenchmarkTest00779,headerinj,false,113
BenchmarkTest00659,ldapi,true,90
BenchmarkTest00653,ldapi,true,90
BenchmarkTest00914,ldapi,true,90
BenchmarkTest00707,ldapi,true,90
BenchmarkTest00105,ldapi,true,90
BenchmarkTest00540,ldapi,true,90
BenchmarkTest00814,ldapi,true,90
BenchmarkTest00354,ldapi,true,90
BenchmarkTest00959,ldapi,true,90
BenchmarkTest00588,ldapi,true,90
BenchmarkTest00360,ldapi,false,90
BenchmarkTest00339,ldapi,false,90
BenchmarkTest00384,ldapi,false,90
BenchmarkTest00042,ldapi,false,90
BenchmarkTest00316,ldapi,false,90
BenchmarkTest00810,ldapi,false,90
BenchmarkTest00847,ldapi,false,90
BenchmarkTest00696,ldapi,false,90
BenchmarkTest00302,ldapi,false,90
BenchmarkTest01074,ldapi,false,90
BenchmarkTest00350,loginjection,true,117
BenchmarkTest01069,loginjection,true,117
BenchmarkTest00385,loginjection,true,117
BenchmarkTest00235,loginjection,true,117
BenchmarkTest00770,loginjection,true,117
BenchmarkTest00595,loginjection,true,117
BenchmarkTest00579,loginjection,true,117
BenchmarkTest00544,loginjection,true,117
BenchmarkTest00065,loginjection,true,117
BenchmarkTest00590,loginjection,true,117
BenchmarkTest01207,loginjection,false,117
BenchmarkTest00833,loginjection,false,117
BenchmarkTest00012,loginjection,false,117
BenchmarkTest00523,loginjection,false,117
BenchmarkTest00621,loginjection,false,117
BenchmarkTest00551,loginjection,false,117
BenchmarkTest00937,loginjection,false,117
BenchmarkTest00619,loginjection,false,117
BenchmarkTest00610,loginjection,false,117
BenchmarkTest00556,loginjection,false,117
BenchmarkTest00311,massassign,true,915
BenchmarkTest01005,massassign,true,915
BenchmarkTest01194,massassign,true,915
BenchmarkTest00472,massassign,true,915
BenchmarkTest00577,massassign,true,915
BenchmarkTest00095,massassign,true,915
BenchmarkTest00094,massassign,true,915
BenchmarkTest01255,massassign,true,915
BenchmarkTest01124,massassign,false,915
BenchmarkTest00097,massassign,false,915
BenchmarkTest00675,massassign,false,915
BenchmarkTest00671,massassign,false,915
BenchmarkTest01133,massassign,false,915
BenchmarkTest00086,massassign,false,915
BenchmarkTest00845,massassign,false,915
BenchmarkTest00290,massassign,false,915
BenchmarkTest01158,pathtraver,true,22
BenchmarkTest00071,pathtraver,true,22
BenchmarkTest00711,pathtraver,true,22
BenchmarkTest00745,pathtraver,true,22
BenchmarkTest00243,pathtraver,true,22
BenchmarkTest00361,pathtraver,true,22
BenchmarkTest00625,pathtraver,true,22
BenchmarkTest00417,pathtraver,true,22
BenchmarkTest00008,pathtraver,false,22
BenchmarkTest00260,pathtraver,false,22
BenchmarkTest01044,pathtraver,false,22
BenchmarkTest00171,pathtraver,false,22
BenchmarkTest01196,pathtraver,false,22
BenchmarkTest00908,pathtraver,false,22
BenchmarkTest00397,pathtraver,false,22
BenchmarkTest00950,pathtraver,false,22
BenchmarkTest00278,redirect,true,601
BenchmarkTest01099,redirect,true,601
BenchmarkTest00003,redirect,true,601
BenchmarkTest00117,redirect,true,601
BenchmarkTest00949,redirect,true,601
BenchmarkTest00821,redirect,true,601
BenchmarkTest01286,redirect,true,601
BenchmarkTest00527,redirect,true,601
BenchmarkTest00271,redirect,false,601
BenchmarkTest00222,redirect,false,601
BenchmarkTest00482,redirect,false,601
BenchmarkTest01138,redirect,false,601
BenchmarkTest00501,redirect,false,601
BenchmarkTest00149,redirect,false,601
BenchmarkTest00035,redirect,false,601
BenchmarkTest00324,redirect,false,601
BenchmarkTest00688,regex,true,1333
BenchmarkTest00665,regex,true,1333
BenchmarkTest00333,regex,true,1333
BenchmarkTest01267,regex,true,1333
BenchmarkTest00314,regex,true,1333
BenchmarkTest01229,regex,true,1333
BenchmarkTest01180,regex,true,1333
BenchmarkTest00684,regex,true,1333
BenchmarkTest00861,regex,true,1333
BenchmarkTest01217,regex,true,1333
BenchmarkTest00596,regex,false,1333
BenchmarkTest00730,regex,false,1333
BenchmarkTest00166,regex,false,1333
BenchmarkTest00991,regex,false,1333
BenchmarkTest00591,regex,false,1333
BenchmarkTest00823,regex,false,1333
BenchmarkTest00119,regex,false,1333
BenchmarkTest00993,regex,false,1333
BenchmarkTest00649,regex,false,1333
BenchmarkTest00973,regex,false,1333
BenchmarkTest00940,securecookie,true,614
BenchmarkTest00570,securecookie,true,614
BenchmarkTest01212,securecookie,true,614
BenchmarkTest00701,securecookie,true,614
BenchmarkTest00568,securecookie,true,614
BenchmarkTest00326,securecookie,true,614
BenchmarkTest01028,securecookie,true,614
BenchmarkTest00479,securecookie,true,614
BenchmarkTest00615,securecookie,false,614
BenchmarkTest01107,securecookie,false,614
BenchmarkTest00380,securecookie,false,614
BenchmarkTest00635,securecookie,false,614
BenchmarkTest00364,securecookie,false,614
BenchmarkTest00748,securecookie,false,614
BenchmarkTest01103,securecookie,false,614
BenchmarkTest01208,securecookie,false,614
BenchmarkTest00664,sqli,true,89
BenchmarkTest00459,sqli,true,89
BenchmarkTest00167,sqli,true,89
BenchmarkTest00593,sqli,true,89
BenchmarkTest01109,sqli,true,89
BenchmarkTest01006,sqli,true,89
BenchmarkTest01026,sqli,true,89
BenchmarkTest00938,sqli,true,89
BenchmarkTest00652,sqli,true,89
BenchmarkTest00524,sqli,true,89
BenchmarkTest00391,sqli,true,89
BenchmarkTest00269,sqli,true,89
BenchmarkTest00710,sqli,true,89
BenchmarkTest00962,sqli,true,89
BenchmarkTest01101,sqli,true,89
BenchmarkTest00014,sqli,false,89
BenchmarkTest00066,sqli,false,89
BenchmarkTest00159,sqli,false,89
BenchmarkTest00668,sqli,false,89
BenchmarkTest01174,sqli,false,89
BenchmarkTest00050,sqli,false,89
BenchmarkTest01121,sqli,false,89
BenchmarkTest00392,sqli,false,89
BenchmarkTest00807,sqli,false,89
BenchmarkTest01036,sqli,false,89
BenchmarkTest00048,sqli,false,89
BenchmarkTest00522,sqli,false,89
BenchmarkTest00027,sqli,false,89
BenchmarkTest00205,sqli,false,89
BenchmarkTest01075,sqli,false,89
BenchmarkTest00508,ssrf,true,918
BenchmarkTest01070,ssrf,true,918
BenchmarkTest00670,ssrf,true,918
BenchmarkTest00202,ssrf,true,918
BenchmarkTest00614,ssrf,true,918
BenchmarkTest00641,ssrf,true,918
BenchmarkTest00053,ssrf,true,918
BenchmarkTest00387,ssrf,true,918
BenchmarkTest01119,ssrf,true,918
BenchmarkTest00253,ssrf,false,918
BenchmarkTest00997,ssrf,false,918
BenchmarkTest00705,ssrf,false,918
BenchmarkTest01204,ssrf,false,918
BenchmarkTest00759,ssrf,false,918
BenchmarkTest01142,ssrf,false,918
BenchmarkTest00131,ssrf,false,918
BenchmarkTest00407,ssrf,false,918
BenchmarkTest00933,ssrf,false,918
BenchmarkTest00256,ssti,true,1336
BenchmarkTest00499,ssti,true,1336
BenchmarkTest00968,ssti,true,1336
BenchmarkTest00063,ssti,true,1336
BenchmarkTest00299,ssti,true,1336
BenchmarkTest00440,ssti,true,1336
BenchmarkTest00782,ssti,true,1336
BenchmarkTest00469,ssti,true,1336
BenchmarkTest00415,ssti,false,1336
BenchmarkTest00004,ssti,false,1336
BenchmarkTest01163,ssti,false,1336
BenchmarkTest00107,ssti,false,1336
BenchmarkTest00947,ssti,false,1336
BenchmarkTest00660,ssti,false,1336
BenchmarkTest00718,ssti,false,1336
BenchmarkTest01241,ssti,false,1336
BenchmarkTest01254,unsafereflect,true,470
BenchmarkTest00774,unsafereflect,true,470
BenchmarkTest00856,unsafereflect,true,470
BenchmarkTest00954,unsafereflect,true,470
BenchmarkTest00215,unsafereflect,true,470
BenchmarkTest00194,unsafereflect,true,470
BenchmarkTest00662,unsafereflect,true,470
BenchmarkTest00789,unsafereflect,true,470
BenchmarkTest00461,unsafereflect,true,470
BenchmarkTest01210,unsafereflect,true,470
BenchmarkTest01065,unsafereflect,false,470
BenchmarkTest00857,unsafereflect,false,470
BenchmarkTest00594,unsafereflect,false,470
BenchmarkTest01114,unsafereflect,false,470
BenchmarkTest01049,unsafereflect,false,470
BenchmarkTest00758,unsafereflect,false,470
BenchmarkTest00077,unsafereflect,false,470
BenchmarkTest01211,unsafereflect,false,470
BenchmarkTest00028,unsafereflect,false,470
BenchmarkTest01113,unsafereflect,false,470
BenchmarkTest01152,weakcipher,true,327
BenchmarkTest00571,weakcipher,true,327
BenchmarkTest00182,weakcipher,true,327
BenchmarkTest01177,weakcipher,true,327
BenchmarkTest00379,weakcipher,true,327
BenchmarkTest00150,weakcipher,true,327
BenchmarkTest00336,weakcipher,true,327
BenchmarkTest00760,weakcipher,true,327
BenchmarkTest00900,weakcipher,true,327
BenchmarkTest00453,weakcipher,true,327
BenchmarkTest01012,weakcipher,false,327
BenchmarkTest00608,weakcipher,false,327
BenchmarkTest01091,weakcipher,false,327
BenchmarkTest01097,weakcipher,false,327
BenchmarkTest01112,weakcipher,false,327
BenchmarkTest00893,weakcipher,false,327
BenchmarkTest00739,weakcipher,false,327
BenchmarkTest00788,weakcipher,false,327
BenchmarkTest00093,weakcipher,false,327
BenchmarkTest00216,weakcipher,false,327
BenchmarkTest01039,weakhash,true,328
BenchmarkTest00238,weakhash,true,328
BenchmarkTest00839,weakhash,true,328
BenchmarkTest00262,weakhash,true,328
BenchmarkTest00345,weakhash,true,328
BenchmarkTest00669,weakhash,true,328
BenchmarkTest00064,weakhash,true,328
BenchmarkTest00098,weakhash,true,328
BenchmarkTest01175,weakhash,true,328
BenchmarkTest00197,weakhash,false,328
BenchmarkTest00144,weakhash,false,328
BenchmarkTest00777,weakhash,false,328
BenchmarkTest00414,weakhash,false,328
BenchmarkTest00374,weakhash,false,328
BenchmarkTest00827,weakhash,false,328
BenchmarkTest00566,weakhash,false,328
BenchmarkTest00491,weakhash,false,328
BenchmarkTest01223,weakhash,false,328
BenchmarkTest01154,weakrand,true,330
BenchmarkTest00532,weakrand,true,330
BenchmarkTest00776,weakrand,true,330
BenchmarkTest00804,weakrand,true,330
BenchmarkTest00433,weakrand,true,330
BenchmarkTest01279,weakrand,true,330
BenchmarkTest01145,weakrand,true,330
BenchmarkTest00009,weakrand,true,330
BenchmarkTest00513,weakrand,true,330
BenchmarkTest01250,weakrand,false,330
BenchmarkTest01030,weakrand,false,330
BenchmarkTest01094,weakrand,false,330
BenchmarkTest00878,weakrand,false,330
BenchmarkTest01257,weakrand,false,330
BenchmarkTest00722,weakrand,false,330
BenchmarkTest00870,weakrand,false,330
BenchmarkTest00406,weakrand,false,330
BenchmarkTest00836,weakrand,false,330
BenchmarkTest00139,xss,true,79
BenchmarkTest00686,xss,true,79
BenchmarkTest00942,xss,true,79
BenchmarkTest01233,xss,true,79
BenchmarkTest01083,xss,true,79
BenchmarkTest01188,xss,true,79
BenchmarkTest01131,xss,true,79
BenchmarkTest00992,xss,true,79
BenchmarkTest00809,xss,true,79
BenchmarkTest00103,xss,true,79
BenchmarkTest00500,xss,true,79
BenchmarkTest00854,xss,false,79
BenchmarkTest00824,xss,false,79
BenchmarkTest00455,xss,false,79
BenchmarkTest00047,xss,false,79
BenchmarkTest00602,xss,false,79
BenchmarkTest01045,xss,false,79
BenchmarkTest00725,xss,false,79
BenchmarkTest00605,xss,false,79
BenchmarkTest00186,xss,false,79
BenchmarkTest00564,xss,false,79
BenchmarkTest00203,xss,false,79
BenchmarkTest01120,xxe,true,611
BenchmarkTest01137,xxe,true,611
BenchmarkTest00458,xxe,true,611
BenchmarkTest00056,xxe,true,611
BenchmarkTest00250,xxe,true,611
BenchmarkTest00057,xxe,true,611
BenchmarkTest00303,xxe,true,611
BenchmarkTest00254,xxe,true,611
BenchmarkTest00785,xxe,true,611
BenchmarkTest00487,xxe,true,611
BenchmarkTest00775,xxe,false,611
BenchmarkTest01287,xxe,false,611
BenchmarkTest00101,xxe,false,611
BenchmarkTest00174,xxe,false,611
BenchmarkTest00525,xxe,false,611
BenchmarkTest00626,xxe,false,611
BenchmarkTest00129,xxe,false,611
BenchmarkTest00541,xxe,false,611
BenchmarkTest00877,xxe,false,611
BenchmarkTest00146,xxe,false,611
BenchmarkTest00765,sqli,true,89
BenchmarkTest00682,sqli,true,89
BenchmarkTest00756,sqli,true,89
BenchmarkTest00840,sqli,true,89
BenchmarkTest00132,sqli,true,89
BenchmarkTest00786,sqli,true,89
BenchmarkTest00584,sqli,false,89
BenchmarkTest00130,sqli,false,89
BenchmarkTest00911,sqli,false,89
BenchmarkTest01269,sqli,false,89
BenchmarkTest00982,sqli,false,89
BenchmarkTest00736,sqli,false,89
BenchmarkTest00411,xss,true,79
BenchmarkTest01185,xss,true,79
BenchmarkTest00349,xss,true,79
BenchmarkTest00609,xss,true,79
BenchmarkTest00773,xss,true,79
BenchmarkTest00393,xss,true,79
BenchmarkTest01206,xss,true,79
BenchmarkTest00910,xss,true,79
BenchmarkTest01042,xss,true,79
BenchmarkTest00352,xss,true,79
BenchmarkTest01184,xss,true,79
BenchmarkTest00767,xss,false,79
BenchmarkTest01040,xss,false,79
BenchmarkTest00880,xss,false,79
BenchmarkTest00013,xss,false,79
BenchmarkTest00728,xss,false,79
BenchmarkTest00033,xss,false,79
BenchmarkTest00200,xss,false,79
BenchmarkTest00462,xss,false,79
BenchmarkTest00304,xss,false,79
BenchmarkTest00208,xss,false,79
BenchmarkTest00231,xss,false,79
BenchmarkTest00207,cmdi,true,78
BenchmarkTest01173,cmdi,true,78
BenchmarkTest01098,cmdi,true,78
BenchmarkTest01231,cmdi,true,78
BenchmarkTest01104,cmdi,true,78
BenchmarkTest01048,cmdi,true,78
BenchmarkTest00817,cmdi,true,78
BenchmarkTest01172,cmdi,true,78
BenchmarkTest00829,cmdi,true,78
BenchmarkTest00306,cmdi,true,78
BenchmarkTest00041,cmdi,true,78
BenchmarkTest00399,cmdi,true,78
BenchmarkTest00717,cmdi,true,78
BenchmarkTest00744,cmdi,false,78
BenchmarkTest00372,cmdi,false,78
BenchmarkTest01057,cmdi,false,78
BenchmarkTest00287,cmdi,false,78
BenchmarkTest00755,cmdi,false,78
BenchmarkTest01062,cmdi,false,78
BenchmarkTest01242,cmdi,false,78
BenchmarkTest00766,cmdi,false,78
BenchmarkTest01220,cmdi,false,78
BenchmarkTest01134,cmdi,false,78
BenchmarkTest00598,cmdi,false,78
BenchmarkTest01251,cmdi,false,78
BenchmarkTest00692,cmdi,false,78
BenchmarkTest00612,csrf,true,352
BenchmarkTest01149,csrf,true,352
BenchmarkTest00886,csrf,true,352
BenchmarkTest00929,csrf,true,352
BenchmarkTest01192,csrf,true,352
BenchmarkTest00514,csrf,true,352
BenchmarkTest00369,csrf,true,352
BenchmarkTest00548,csrf,true,352
BenchmarkTest00576,csrf,true,352
BenchmarkTest00300,csrf,true,352
BenchmarkTest00375,csrf,true,352
BenchmarkTest00454,csrf,true,352
BenchmarkTest00452,csrf,true,352
BenchmarkTest00209,csrf,true,352
BenchmarkTest00342,csrf,true,352
BenchmarkTest00951,csrf,false,352
BenchmarkTest00190,csrf,false,352
BenchmarkTest01011,csrf,false,352
BenchmarkTest01166,csrf,false,352
BenchmarkTest00797,csrf,false,352
BenchmarkTest01064,csrf,false,352
BenchmarkTest01059,csrf,false,352
BenchmarkTest00672,csrf,false,352
BenchmarkTest00516,csrf,false,352
BenchmarkTest00812,csrf,false,352
BenchmarkTest00137,csrf,false,352
BenchmarkTest00935,csrf,false,352
BenchmarkTest00274,csrf,false,352
BenchmarkTest00277,csrf,false,352
BenchmarkTest01018,authzfailure,true,862
BenchmarkTest00960,authzfailure,true,862
BenchmarkTest00347,authzfailure,true,862
BenchmarkTest00121,authzfailure,true,862
BenchmarkTest00895,authzfailure,true,862
BenchmarkTest00029,authzfailure,true,862
BenchmarkTest00156,authzfailure,true,862
BenchmarkTest00531,authzfailure,true,862
BenchmarkTest00490,authzfailure,true,862
BenchmarkTest00465,authzfailure,true,862
BenchmarkTest00040,authzfailure,true,862
BenchmarkTest00404,authzfailure,true,862
BenchmarkTest01285,authzfailure,true,862
BenchmarkTest00424,authzfailure,true,862
BenchmarkTest01156,authzfailure,true,862
BenchmarkTest00832,authzfailure,false,862
BenchmarkTest01182,authzfailure,false,862
BenchmarkTest00061,authzfailure,false,862
BenchmarkTest00435,authzfailure,false,862
BenchmarkTest00395,authzfailure,false,862
BenchmarkTest00284,authzfailure,false,862
BenchmarkTest00370,authzfailure,false,862
BenchmarkTest00246,authzfailure,false,862
BenchmarkTest01000,authzfailure,false,862
BenchmarkTest00154,authzfailure,false,862
BenchmarkTest00642,authzfailure,false,862
BenchmarkTest01082,authzfailure,false,862
BenchmarkTest00896,authzfailure,false,862
BenchmarkTest00928,authzfailure,false,862
BenchmarkTest00164,authzfailure,false,862
BenchmarkTest00136,authnfailure,true,287
BenchmarkTest00494,authnfailure,true,287
BenchmarkTest01189,authnfailure,true,287
